,Car Name,Car Model,Year,Mileage,Fuel Type,Owner,Price
213,MAHINDRA Bolero Power+,ZLX BS4 Power +,2017,68865,Diesel,2 Owner,₹6L
214,MARUTI SUZUKI ERTIGA,ERTIGA SMART HYBRID VXI,2022,17964,Petrol,1 Owner,₹12L
215,TATA MOTORS NEXON,XM S DIESEL,2020,21433,Diesel,1 Owner,₹7L
216,MARUTI SUZUKI EECO,5 Seater - Standard with CNG Metallic,2020,20000,CNG,1 Owner,₹5L
217,MARUTI SUZUKI WAGON R,VXI,2015,48000,Petrol,1 Owner,₹3.6L
218,HYUNDAI GRAND I 10,ASTA 1.2 KAPPA VTVT OPT,2017,43000,Petrol,1 Owner,₹4.6L
219,MARUTI SUZUKI WAGON R,VXI,2013,38000,Petrol,1 Owner,₹2.95L
220,MARUTI SUZUKI EECO,7 STR,2011,62000,Petrol,2 Owner,₹2.85L
221,HONDA JAZZ,S MT Diesel,2016,31000,Diesel,2 Owner,₹3.95L
222,HONDA Brio [2011-2013],S(O)MT,2012,27000,Petrol,3 Owner,₹2.1L
223,HONDA AMAZE,1.2 S MT Petrol Special Edition BS-VI,2011,27000,Diesel,2 Owner,₹3.8L
224,HONDA BRIO,S MT,2016,29000,Petrol,1 Owner,₹4.35L
225,HONDA JAZZ,V CVT,2016,200000,Petrol,2 Owner,₹5.35L
226,MARUTI SUZUKI IGNIS,ZETA,2020,20000,Diesel,1 Owner,₹6.5L
227,MARUTI SUZUKI SWIFT DZIRE,LXi,N/A,N/A,N/A,N/A,₹5.5L
228,MARUTI SUZUKI SWIFT DZIRE,LXi,N/A,N/A,N/A,N/A,₹4.5L
229,MARUTI SUZUKI SWIFT DZIRE,LDI BS IV,2017,103256,Diesel,1 Owner,₹5L
230,MARUTI SUZUKI ALTO,STD BS II,2007,0,Petrol,2 Owner,₹2.05L
